Triangle 0: (0.00, 1.00, -1.00), (0.05, 0.67, -0.99), (0.00, 0.67, -1.00)
Triangle 1: (0.31, 1.00, -0.95), (0.36, 0.67, -0.93), (0.31, 0.67, -0.95)
Triangle 2: (0.59, 1.00, -0.81), (0.62, 0.67, -0.77), (0.59, 0.67, -0.81)
Triangle 3: (0.81, 1.00, -0.59), (0.83, 0.67, -0.54), (0.81, 0.67, -0.59)
Triangle 4: (0.95, 1.00, -0.31), (0.96, 0.67, -0.26), (0.95, 0.67, -0.31)
Triangle 5: (1.00, 1.00, 0.00), (0.99, 0.67, 0.05), (1.00, 0.67, 0.00)
Triangle 6: (0.95, 1.00, 0.31), (0.93, 0.67, 0.36), (0.95, 0.67, 0.31)
Triangle 7: (0.81, 1.00, 0.59), (0.77, 0.67, 0.62), (0.81, 0.67, 0.59)
Triangle 8: (0.59, 1.00, 0.81), (0.54, 0.67, 0.83), (0.59, 0.67, 0.81)
Triangle 9: (0.31, 1.00, 0.95), (0.26, 0.67, 0.96), (0.31, 0.67, 0.95)
Triangle 10: (0.00, 1.00, 1.00), (-0.05, 0.67, 0.99), (0.00, 0.67, 1.00)
Triangle 11: (-0.31, 1.00, 0.95), (-0.36, 0.67, 0.93), (-0.31, 0.67, 0.95)
Triangle 12: (-0.59, 1.00, 0.81), (-0.62, 0.67, 0.77), (-0.59, 0.67, 0.81)
Triangle 13: (-0.81, 1.00, 0.59), (-0.83, 0.67, 0.54), (-0.81, 0.67, 0.59)
Triangle 14: (-0.95, 1.00, 0.31), (-0.96, 0.67, 0.26), (-0.95, 0.67, 0.31)
Triangle 15: (-1.00, 1.00, 0.00), (-0.99, 0.67, -0.05), (-1.00, 0.67, 0.00)
Triangle 16: (-0.95, 1.00, -0.31), (-0.93, 0.67, -0.36), (-0.95, 0.67, -0.31)
Triangle 17: (-0.81, 1.00, -0.59), (-0.77, 0.67, -0.62), (-0.81, 0.67, -0.59)
Triangle 18: (-0.95, 1.00, 0.31), (-0.63, 1.00, 0.31), (-0.69, 1.00, 0.12)
Triangle 19: (-0.59, 1.00, -0.81), (-0.54, 0.67, -0.83), (-0.59, 0.67, -0.81)
Triangle 20: (-0.31, 1.00, -0.95), (-0.26, 0.67, -0.96), (-0.31, 0.67, -0.95)
Triangle 21: (0.81, -1.00, 0.59), (0.51, -1.00, 0.49), (0.62, -1.00, 0.33)
Triangle 22: (0.00, 1.00, -1.00), (0.05, 1.00, -0.99), (0.05, 0.67, -0.99)
Triangle 23: (0.31, 1.00, -0.95), (0.36, 1.00, -0.93), (0.36, 0.67, -0.93)
Triangle 24: (0.59, 1.00, -0.81), (0.62, 1.00, -0.77), (0.62, 0.67, -0.77)
Triangle 25: (0.81, 1.00, -0.59), (0.83, 1.00, -0.54), (0.83, 0.67, -0.54)
Triangle 26: (0.95, 1.00, -0.31), (0.96, 1.00, -0.26), (0.96, 0.67, -0.26)
Triangle 27: (1.00, 1.00, 0.00), (0.99, 1.00, 0.05), (0.99, 0.67, 0.05)
Triangle 28: (0.95, 1.00, 0.31), (0.93, 1.00, 0.36), (0.93, 0.67, 0.36)
Triangle 29: (0.81, 1.00, 0.59), (0.77, 1.00, 0.62), (0.77, 0.67, 0.62)
Triangle 30: (0.59, 1.00, 0.81), (0.54, 1.00, 0.83), (0.54, 0.67, 0.83)
Triangle 31: (0.31, 1.00, 0.95), (0.26, 1.00, 0.96), (0.26, 0.67, 0.96)
Triangle 32: (0.00, 1.00, 1.00), (-0.05, 1.00, 0.99), (-0.05, 0.67, 0.99)
Triangle 33: (-0.31, 1.00, 0.95), (-0.36, 1.00, 0.93), (-0.36, 0.67, 0.93)
Triangle 34: (-0.59, 1.00, 0.81), (-0.62, 1.00, 0.77), (-0.62, 0.67, 0.77)
Triangle 35: (-0.81, 1.00, 0.59), (-0.83, 1.00, 0.54), (-0.83, 0.67, 0.54)
Triangle 36: (-0.95, 1.00, 0.31), (-0.96, 1.00, 0.26), (-0.96, 0.67, 0.26)
Triangle 37: (-1.00, 1.00, 0.00), (-0.99, 1.00, -0.05), (-0.99, 0.67, -0.05)
Triangle 38: (-0.95, 1.00, -0.31), (-0.93, 1.00, -0.36), (-0.93, 0.67, -0.36)
